name,tier,tier_name,iclevel,region,state,cfips,county,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc
Ursuline College,6,Selective private,1,2,OH,39035,Cuyahoga,0.95636362,0.57043773,0.017069841,0,93028.19189,75100,0.582830957,0.054246359,0.20713502,0.24827901,0.28314877,0.20719087,0.099324867,0.054010794,0.004070345,9.81E-05
Utah College Of Massage Therapy,12,Less than two-year schools of any type,3,4,AZ,4013,Maricopa,0.73995453,0.49498308,0.008807759,0.000684909,97051.27598,62300,0.504462518,0.1468197,0.2083158,0.24958509,0.25596726,0.13931206,0.06083037,0.028829973,0.005935002,0.001541014
Utah State University,5,Selective public,1,4,UT,49005,Cache,0.55606407,0.79703969,0.006485459,0.000251627,119942.3447,91300,0.670506387,0.038503442,0.096419349,0.2041869,0.32330325,0.33758709,0.17311865,0.089175045,0.014361461,0.001024792
Utah Valley University,7,Nonselective four-year public,1,4,UT,49049,Utah,0.46587822,0.77311224,0.009234839,9.01E-05,139495.2703,89800,0.665497027,0.049795851,0.10014926,0.20269814,0.30128309,0.34607357,0.18605357,0.10868889,0.022087939,0.002896565
Utica College,6,Selective private,1,1,NY,36065,Oneida,0.58357489,0.5434733,0.05026231,0.003854563,80905.81587,67500,0.54162621,0.1310263,0.17271945,0.24720939,0.26697204,0.1820728,0.076759055,0.032441895,0.004939234,4.72E-05
Valdosta State University,5,Selective public,1,3,GA,13185,Lowndes,0.59614891,0.59747541,0.012920764,4.65E-06,96660.73184,83400,0.612726831,0.080228448,0.14311206,0.20243926,0.27587187,0.29834843,0.12771206,0.05294349,0.004406931,4.55E-05
Valencia College,7,Nonselective four-year public,1,3,FL,12095,Orange,0.54941511,0.44302782,0.021379003,0.000401044,81872.24073,62000,0.518749097,0.15688421,0.21088229,0.22185637,0.21468505,0.19569209,0.091863774,0.042839836,0.00712103,0.000662827
Valley City State University,5,Selective public,1,2,ND,38003,Barnes,0.48758465,0.71825904,0.021546252,6.63E-06,68016.74413,62700,0.514520635,0.11091972,0.20727444,0.32030469,0.24834479,0.11315639,0.038279075,0.021252712,0.00075763,0.000129158
Valparaiso University,6,Selective private,1,2,IN,18127,Porter,0.54106027,0.68147784,0.008071014,0.001020368,145714.9438,107000,0.726216153,0.028814238,0.071477145,0.15355489,0.26944047,0.47671324,0.26643747,0.13540614,0.020086898,0.00096947
Vance - Granville Community College,9,Two-year (public and private not-for-profit),2,3,NC,37181,Vance,0.62586313,0.35806939,0.014685035,0,56108.12309,43100,0.420877558,0.24921608,0.27426067,0.19955418,0.18620554,0.090763614,0.020594634,0.010318602,9.57E-05,8.12E-06
Vanderbilt University,2,Other elite schools (public and private),1,3,TN,47037,Davidson,0.53726566,0.63889211,0.014718471,0.003220824,535431.0616,197900,0.830050508,0.024821995,0.051126383,0.093465075,0.12394075,0.70664579,0.60000283,0.48275676,0.21908806,0.029290847
Vanguard University Of Southern California,6,Selective private,1,4,CA,6059,Orange,0.62135923,0.71484703,0.011353597,0,119919.5008,83200,0.633686676,0.061830804,0.12517373,0.23237832,0.26413909,0.31647813,0.17311326,0.094373301,0.018717248,0
Vassar College,2,Other elite schools (public and private),1,1,NY,36027,Dutchess,0.60714287,0.44555253,0.010944489,0.000596046,285792.7961,145100,0.794062856,0.033592291,0.056659386,0.10585788,0.18328077,0.62060976,0.47813737,0.33271539,0.084441915,0.010670105
Vatterott College,10,Four-year for-profit,1,2,MO,29189,St Louis,0.41241077,0.39620981,0.017163632,6.24E-05,59444.94792,48500,0.432040016,0.24197271,0.23577037,0.2394419,0.18908295,0.093732044,0.028556105,0.010264938,0.002418448,0.00052015
Vaughn College Of Aeronautics And Technology,8,Nonselective four-year private not-for-profit,1,1,NY,36081,Queens,0.099518456,0.39375299,0.16357975,0.006444292,42817.99932,30900,0.338272644,0.36477882,0.29544145,0.17600276,0.092862889,0.070914015,0.017619763,0.007629009,0.001198152,4.56E-05
Ventura County Community College District,9,Two-year (public and private not-for-profit),2,4,CA,6111,Ventura,0.49613819,0.4319331,0.020021345,0.000476183,95888.39963,73700,0.574532166,0.13103685,0.17225407,0.19526252,0.21336013,0.28808638,0.13870917,0.057188895,0.007680135,0.000488218
Vernon College,9,Two-year (public and private not-for-profit),2,3,TX,48487,Wilbarger,0.57084018,0.55012918,0.022417707,0.000877269,77764.21283,53100,0.458450861,0.16912641,0.25425947,0.25916064,0.22851934,0.088934198,0.035223514,0.006313461,0.001593821,0.001117021
Victor Valley Community College,9,Two-year (public and private not-for-profit),2,4,CA,6071,San Bernardino,0.52441972,0.49149844,0.021405781,0.000229457,67682.33844,62600,0.495193075,0.17720585,0.18364517,0.23854381,0.25490713,0.14569806,0.046144251,0.010525185,0.001229907,7.22E-05
Victoria College,9,Two-year (public and private not-for-profit),2,3,TX,48469,Victoria,0.59340149,0.52598184,0.031165013,0.00046824,73409.67076,65600,0.51509003,0.16425104,0.18292107,0.23116791,0.26178771,0.1598724,0.042985894,0.02114201,0.002714083,0
Villanova University,2,Other elite schools (public and private),1,1,PA,42045,Delaware,0.50053751,0.6373328,0.013182082,0.001742314,315701.2563,159900,0.822329791,0.022712095,0.043972466,0.080342673,0.15062495,0.70234782,0.53149223,0.36739397,0.10295064,0.011926174
Vincennes University,7,Nonselective four-year public,1,2,IN,18083,Knox,0.36946717,0.55315363,0.017317109,0,78009.54133,68800,0.54374962,0.11588706,0.17449304,0.25050026,0.28530428,0.17381543,0.061438311,0.020800831,0.003016769,0.000179855
Virginia College,10,Four-year for-profit,1,3,AL,1073,Jefferson,0.68527263,0.28743851,0.010645791,3.51E-05,52734.0735,36500,0.369963766,0.3277775,0.27453664,0.17220607,0.1394272,0.086052574,0.030877538,0.012162356,0.001585801,0.00010159
Virginia Commonwealth University,5,Selective public,1,3,VA,51760,Richmond City,0.60536742,0.51194024,0.019243585,0.000656763,108486.661,90700,0.647400858,0.070848346,0.1256188,0.18280709,0.25156429,0.36916146,0.17940527,0.075380407,0.007707843,0.000132041
Virginia Highlands Community College,9,Two-year (public and private not-for-profit),2,3,VA,51191,Washington,0.54491019,0.57692194,0.013371324,0,59370.95551,54300,0.451653246,0.19285116,0.21531437,0.28360793,0.22207624,0.086150318,0.032829296,0.01901602,0.002178688,9.85E-05
Virginia Military Institute,5,Selective public,1,3,VA,51678,Lexington City,0.056910571,0.67730194,0.019949649,4.82E-05,153454.3008,116700,0.740095063,0.046043575,0.072871454,0.12991008,0.22041246,0.53076243,0.30856192,0.1586753,0.021059532,0.001147644
Virginia Polytechnic Institute & State University,3,Highly selective public,1,3,VA,51121,Montgomery,0.43178684,0.65335566,0.013518651,0.000512973,160204.6999,123300,0.763797142,0.028448775,0.060345702,0.11394559,0.22006769,0.57719231,0.34985486,0.16548753,0.022486659,0.001851711
Virginia State University,5,Selective public,1,3,VA,51041,Chesterfield,0.54688799,0.25135735,0.034331579,0.000464,63044.4121,52200,0.458169126,0.19235934,0.25322846,0.24553949,0.17802922,0.13084355,0.042166479,0.00729049,0.001595226,0.00044161
Virginia Wesleyan College,6,Selective private,1,3,VA,51810,Virginia Beach City,0.61904764,0.55334544,0.01279017,3.16E-05,223228.413,90400,0.649073514,0.080985546,0.11272939,0.20147192,0.23316002,0.3716532,0.19555758,0.11033138,0.025526801,0.004791943
Virginia Western Community College,9,Two-year (public and private not-for-profit),2,3,VA,51770,Roanoke City,0.52823919,0.50122857,0.012707789,1.08E-05,78722.09045,66800,0.539970374,0.1162115,0.18953785,0.24857804,0.27310193,0.17257078,0.065159656,0.029961353,0.003643669,7.44E-05
Viterbo University,6,Selective private,1,2,WI,55063,La Crosse,0.73862159,0.65008473,0.008021649,1.63E-05,93904.17842,78200,0.612457416,0.060364258,0.13836037,0.25520894,0.31286108,0.23320548,0.095319413,0.043090113,0.005947484,0.001428384
