Institution,Control,State,Category
Emory & Henry College,Private,VA,<a href="https://www.ehc.edu/live/news/1257-emory-henry-college-announces-fall-2020-plans" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Emory University,Private,GA,<a href="https://www.emory.edu/forward/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Emporia State University,Public,KS,<a href="https://www.emporia.edu/covid-19-information/campus-communications/april-30-2020-moving-forward-town-hall-meeting/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Evangel University,Private,MO,<a href="https://www.evangel.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Evergreen State College,Public,WA,<a href="https://www.evergreen.edu/news/post/planning-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Evergreen Valley College,Public,CA,<a href="https://www.evc.edu/current-students" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Fairfield University,Private,CT,<a href="https://www.fairfield.edu/undergraduate/student-life-and-services/health-and-wellness/health-center/emergencies/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Fairleigh Dickinson University,Private,NJ,<a href="https://www.fdu.edu/news/fairleigh-dickinson-university-announces-fall-2020-operations-on-nj-campuses/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Fairmont State University,Public,WV,<a href="https://www.fairmontstate.edu/news/academics-front-page/fairmont-state-releases-updated-academic-calendar-begins-classes-aug-10" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Faith Baptist Bible College,Private,IA,<a href="https://faith.edu/faith-news/dr-tillotson-gives-presidential-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ferris State University,Public,MI,<a href="https://www.ferris.edu/HTMLS/news/coronavirus/message-to-campus-may12-2020.htm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ferrum College,Private,VA,<a href="https://theroanokestar.com/2020/05/19/ferrum-college-students-to-return-to-campus-in-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Finlandia University,Private,MI,<a href="https://www.finlandia.edu/wp-content/uploads/2020/05/May-1-2020-Weekly-Presidents-Message-.pdff" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Fisher College,Private,MA,<a href="https://www.fisher.edu/about/updates-on-the-coronavirus" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Florida Institute of Technology,Private,FL,<a href="https://www.fit.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Florida Southern College,Private,FL,<a href="https://www.flsouthern.edu/news/recent/2020/general/fall-fall-semester-classes-to-begin-september-1.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Florida State University,Public,FL,<a href="https://news.fsu.edu/news/2020/04/15/frequently-asked-questions-for-undergraduate-students-starting-in-summer-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Foothill College,Public,CA,<a href="https://www.foothill.edu/virtualcampus/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Fordham University,Private,NY,<a href="https://www.fordham.edu/info/29768/fall_2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Fort Lewis College,Public,CO,<a href="https://www.fortlewis.edu/life-at-flc/gear-up-flc/gear-up-flc-home" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Francis Marion University,Public,SC,<a href="https://www.scnow.com/news/local/fmu-preparing-detailed-plans-for-anticipated-fall-return-to-campus/article_ecf8f3dc-7f84-50c8-abe9-27a62ebe9391.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Franciscan University of Steubenville,Private,OH,<a href="https://franciscan.edu/returning-to-campus-in-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Franklin and Marshall College,Private,PA,<a href="https://www.the-college-reporter.com/2020/04/20/f-administrators-warn-fps-diplomatic-congress-about-potential-financial-repercussions-%EF%BB%BF/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Franklin College,Private,IN,<a href="https://franklincollege.edu/president-prather-shares-steps-toward-opening-campus-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Franklin Pierce University,Private,NH,<a href="https://www.franklinpierce.edu/about/news/2020_open_for_fall_term.htm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Fuller Theological Seminary,Private,CA,<a href="https://www.fuller.edu/posts/covid-19-coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Fullerton College,Public,CA,<a href="https://coronavirus.fullcoll.edu/2020/05/08/campus-update-for-students-may-8-distance-education-continues-through-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Furman University,Private,SC,<a href="https://news.furman.edu/2020/06/09/furmans-fall-semester-to-begin-aug-18/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Gallaudet University,Private,DC,<a href="https://coronavirus.gallaudet.edu/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Gannon University,Private,PA,<a href="https://update.gannon.edu/Update/Detail/30?fbclid=IwAR2B6uUtTquJKtbmGZU8rDMlG1jK8zFNHlWFhTUC2BpB6iJQU9D2CGVTgMY" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Gardner-Webb University,Private,NC,<a href="https://gardner-webb.edu/offices-and-departments/departments/university-police/emergency-information/health-advisories/coronavirus/community-update-5-1-20/index" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Geneva College,Private,PA,<a href="https://www.geneva.edu/emergency/covid-19-update-students" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
George Fox University,Public,OR,<a href="https://blogs.georgefox.edu/bruinblog/?p=3655" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
George Mason University,Public,VA,<a href="https://www2.gmu.edu/news/586261" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
George Washington University,Private,DC,<a href="https://campusadvisories.gwu.edu/covid-19-frequently-asked-questions" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Georgetown University,Private,DC,<a href="https://president.georgetown.edu/update-on-fall-2020-planning/ " target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Gettysburg College,Private,PA,<a href="https://www.gettysburg.edu/coronavirus/remote-learning#fall-online-in-person" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Glendale Community College,Public,CA,<a href="https://www.glendale.edu/students/student-services/health-center/what-you-need-to-know" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Gonzaga University,Private,WA,<a href="https://www.gonzaga.edu/about/offices-services/emergency-preparedness/zagready/hazard-specific-resources/coronavirus/announcements-messages/fall-2020-announcement-to-students-families?fbclid=IwAR1k8N-j7TO7kCEKtb_uBekCTS_5l3heBmfzh4N3M94l91u4G0Ki9LeUiOM" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Goshen College,Private,IN,<a href="https://www.goshen.edu/news/2020/05/29/leadership-lays-out-fall-reopening-plans/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Goucher College,Private,MD,<a href="https://www.bizjournals.com/baltimore/news/2020/05/18/greater-baltimore-colleges-will-reopen-campuses.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Grace College,Private,IN,<a href="https://www.grace.edu/grace-college-announces-intention-to-reopen-campus-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Grand Rapids Community College,Public,MI,<a href="https://www.mlive.com/news/ann-arbor/2020/05/michigan-community-colleges-look-ahead-to-fall-enrollment-consider-hybrid-course-strategies.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Grand Valley State University,Public,MI,<a href="ttps://www.gvsu.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Great Basin College,Public,NV,<a href="https://nshe.nevada.edu/2020/05/chancellor-thom-reillys-statement-on-reopening-in-the-summer-and-fall-semesters/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Grinnell College,Private,IA,<a href="https://instructionalcontinuity.sites.grinnell.edu/wp-content/uploads/2020/05/AC-faculty-staff-5-5-FINAL.pdf" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Grove City College,Private,PA,<a href="http://www.gcc.edu/Home/News-Archive/News-Article/college-prepares-for-return-to-classes-on-august-24" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Guiliford College,Private,NC,<a href="https://www.guilford.edu/news/2020/06/guilford-college-announces-reopening-plan-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hampden-Sydney College,Private,VA,<a href="http://www.hsc.edu/news-index/fall-semester-resumes" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hampshire College,Private,MA,<a href="https://www.hampshire.edu/health-services/2020/02/04/updates-on-covid-19-novel-coronavirus?fbclid=IwAR2RWKOVwZeiC0Hxw-RDAEduPFqQO-j1tzhCniVnPpjn2iHAp1H9IVdP9bM" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hampton University,Private,VA,<a href="http://alert.hamptonu.edu/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Hanover College,Private,IN,<a href="https://www.hanover.edu/about/news?article=8708" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Harding University,Private,AR,<a href="https://harding.edu/public-safety/emergency-management/coronavirus-notifications/may-8-update" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Harford Community College,Public,MD,<a href="http://harford.edu/about/news/2020/coronavirus.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Hartnell College,Public,CA,<a href="https://www.hartnell.edu/students/admissions/registration/index.html" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Harvard University,Private,MA,<a href="https://www.wbur.org/edify/2020/06/09/harvard-fall-online-teaching" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Harvey Mudd College,Private,CA,<a href="https://www.hmc.edu/coronavirus-information/2020/04/23/april-23-hmc-covid-19-community-update/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Hastings College,Private,NE,<a href="https://www.hastings.edu/news/hastings-college-coronavirus-information/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Haverford College,Private,PA,<a href="https://www.brynmawr.edu/news/presidents-bryn-mawr-and-haverford-announce-plan-fall-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hawaii Pacific University,Private,HI,<a href="https://www.hpu.edu/about-us/news-and-events/news/2020/05/student-message-coronavirus.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Heidelberg University,Private,OH,<a href="https://www.heidelberg.edu/about/news/2020/heidelberg-announces-plans-to-reopen-this-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hendrix College,Private,AR,<a href="https://www.hendrix.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
High Point University,Private,NC,<a href="http://www.highpoint.edu/studenthealth/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Highline College,Public,WA,<a href="https://www.highline.edu/covid19/#updatess" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Hilbert College,Private,NY,<a href="https://www.hilbert.edu/about/coronavirus-update" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hillsdale College,Private,MI,<a href="https://www.mlive.com/news/jackson/2020/05/i-look-forward-to-seeing-you-on-aug-23-hillsdale-college-president-says-to-students.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hinds Community College,Public,MS,<a href="https://www.hindscc.edu/emergency/coronavirus-covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hiram College,Private,OH,<a href="https://www.hiram.edu/hiram-news/hiram-college-announces-enhanced-services-changes-to-summer-and-fall-semesters/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hobart and WIlliam Smith Colleges,Private,NY,<a href="https://www2.hws.edu/coronavirus-covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hodges University,Private,FL,<a href="https://www.nbc-2.com/story/42194249/hodges-becomes-first-florida-university-to-let-students-back-on-campus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hofstra University,Private,NY,<a href="https://news.hofstra.edu/2020/05/13/university-coronavirus-update/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Hofstra University,Private,NY,<a href="https://news.hofstra.edu/2020/06/05/university-coronavirus-update-7/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hollins University,Private,VA,<a href="https://www.hollins.edu/coronavirus-preparedness/carefully-onward/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Holy Cross College,Private,IN,<a href="https://ndsmcobserver.com/2020/05/holy-cross-announces-intent-to-begin-in-person-instruction-aug-24/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hood College,Private,MD,<a href="https://www.hood.edu/campus-community/health-counseling-services/covid-19/general-updates-communications" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
#REF!,#REF!,#REF!,#REF!
Hope College,Private,MI,<a href="https://hope.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hope International University,Private,CA,<a href="https://www.hiu.edu/about-hiu/news-and-events/news-detail.php?id=438" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Howard University,Private,DC,<a href="https://newsroom.howard.edu/newsroom/article/12571/howard-university-update-fall-planning" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Hudson County Community College,Public,NJ,<a href="https://www.hccc.edu/templates/PBNewsDetail.aspx?id=17109" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Hult International Business School,Private,MA,<a href="https://www.hult.edu/en/announcements/covid19-update/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Huntingdon College,Private,AL,<a href="https://www.huntingdon.edu/huntingdon-announces-fall-start-date/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Husson University,Private,ME,<a href="https://www.husson.edu/covid-19-response" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Iliff School of Theology,Private,CO,<a href="https://www.iliff.edu/covid-19/fallonline/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Illinois College,Private,IL,<a href="https://www.ic.edu/news/05-22-2020/illinois-college-plans-students-return-campus-august" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Illinois Institute of Technology,Private,IL,<a href="https://www.iit.edu/COVID-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Illinois State University,Public,IL,<a href="https://news.illinoisstate.edu/2020/04/a-message-from-president-dietz-to-faculty-and-staff-4-30-20/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Immaculata University,Private,PA,<a href="https://www.immaculata.edu/news/may-15-2020-letter-from-president-lettiere//" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Indiana State University,Public,IN,<a href="https://www.indstate.edu/covid-19" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Indiana University,Public,IN,<a href="https://president.iu.edu/speeches/statements/2020/05-21-phased-reopening.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Indiana University of Pennsylvania,Public,PA,<a href="https://www.iup.edu/news-events/coronavirus-information/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Iona College,Private,NY,<a href="https://www.iona.edu/about/news-events/news/iona-college-announces-tentative-return-to-campus.aspx" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Iowa State University,Public,IA,<a href="https://web.iastate.edu/safety/updates/covid19/planning/fallplan" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Ithaca College,Private,NY,<a href="https://cnycentral.com/news/local/ithaca-college-to-resume-in-person-classes-october-5th" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Ivy Tech Community College,Public,IN,<a href="https://www.wishtv.com/news/inside-indiana-business/colleges-prepare-to-reopen-in-the-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Jacksonville State University,Public,AL,<a href="http://www.jsu.edu/coronavirus/0512-campus-reopening.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Jacksonville University,Private,FL,<a href="https://www.ju.edu/emergency/coronavirus/index.php" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
James Madison University,Public,VA,<a href="https://www.jmu.edu/news/covid19/index.shtml" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
John Brown University,Private,AR,<a href="https://www.jbu.edu/health-services/coronavirus//" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
John Carroll University,Private,OH,<a href="https://jcu.edu/news-center/john-carrolls-fall-academic-plan" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Johns Hopkins University,Private,MD,<a href="https://hub.jhu.edu/novel-coronavirus-information/jhu-2020-planning/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Johnson University — Florida,Private,FL,<a href="https://johnsonu.edu/Coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Johnson University — Tennessee,Private,TN,<a href="https://johnsonu.edu/Coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Judson University,Private,IL,<a href="https://www.judsonu.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Juniata College,Private,PA,<a href="https://www.juniata.edu/coronavirus/coronavirus-statement-2020-fall-semester.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Kalamazoo College,Private,MI,<a href="https://healthcenter.kzoo.edu/coronavirus-disease-2019-covid-19-campus-updates/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Kansas City Art Institute,Private,MO,<a href="https://kcai.edu/about/news-publications/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Kansas State University,Public,KS,<a href="https://www.k-state.edu/today/announcement/?id=64796" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Kean University,Public,NJ,<a href="https://www.kean.edu/coronavirus-information" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Kent State University,Public,OH,<a href="https://www.kent.edu/coronavirus/news/friday-may-22-2020" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Kenyon College,Private,OH,<a href="https://blogs.kenyon.edu/campus-report/post/covid-19-update-planning-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Keuka College,Private,NY,<a href="https://www.keuka.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
King's College,Private,PA,<a href="https://m.citizensvoice.com/news/wilkes-king-s-set-plans-for-in-person-classes-1.2635688" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Knox College,Private,IL,<a href="https://www.knox.edu/news/president-announces-plans-to-welcome-students-back-for-fall-term" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
La Roche University,Private,PA,<a href="https://www.laroche.edu/Student_Life/Counseling_and_Health_Services/Coronavirus_Updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
La Salle University,Private,PA,<a href="https://www.lasalle.edu/news/2020/05/28/fall-2020-operations-and-instruction-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lafayette College,Private,PA,<a href="https://covid19.lafayette.edu/2020/05/07/college-update-and-planning-for-fall/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
LaGrange College,Private,GA,<a href="https://www.lagrange.edu/News/2020/05/College%20plans%20fall%20return.html#.XrRmoGhKjI" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Laguna College of Art and Design,Private,CA,<a href="https://my.lcad.edu/wp-content/uploads/2020/03/fall-semester-update-5_4_2020.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lake Superior State University,Public,MI,<a href="https://www.freep.com/story/news/education/2020/05/07/lake-superior-state-classes-early-fall-covid/3090060001/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lakeland University,Private,WI,<a href="http://www.lakeland.edu/fall2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lander University,Public,SC,<a href="https://www.lander.edu/node/19234" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Laney College,Public,CA,<a href="https://laney.edu/blog/updates-on-covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Lansing Community College,Public,MI,<a href="https://www.mlive.com/news/ann-arbor/2020/05/michigan-community-colleges-look-ahead-to-fall-enrollment-consider-hybrid-course-strategies.html" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Lawrence Technological University,Private,MI,<a href="https://www.ltu.edu/coronavirus/president.asp" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Lawrence University,Private,WI,<a href="https://blogs.lawrence.edu/covid-19/2020/05/11/looking-forward-to-fall-a-message-from-president-burstein/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
LDS Business College,Private,UT,<a href="https://docs.google.com/document/d/10Pmu3C2qdzCZBp7RxmNmFrFb7Y6AidIPfDhMxxRNLFM/edit" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Lee University,Private,TN,<a href="https://www.juniata.edu/coronavirus/coronavirus-statement-2020-fall-semester.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lehigh University,Private,PA,<a href="https://www2.lehigh.edu/news/61020-the-opening-of-lehigh-fall-semester-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
LeTourneau University,Private,TX,<a href="https://www.letu.edu/wbi.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lewis and Clark College,Private,OR,<a href="https://college.lclark.edu/live/news/43420-fall-semester-academic-plans-for-the-college-of" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lewis College,Private,IL,<a href="https://lincolncollege.edu/lincoln-college-is-making-plans-to-resume-in-person-classes-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lewis University,Private,IL,<a href="https://www.lewisu.edu/returntocampus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lewis-Clark State College,Public,ID,<a href="https://www.lcsc.edu/communications/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Liberty University,Private ,VA,<a href="https://www.liberty.edu/index.cfm?PID=18495&amp;mid=379980" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Life Pacific University,Private,CA,<a href="https://www.lifepacific.edu/article/life-pacific-university-commits-open-university-safely-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Limestone College,Private,SC,<a href="https://www.limestone.edu/about/news/limestone-resume-campus-instruction-fall-2020-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lincoln University (Pa.),Public,PA,<a href="https://www.lincoln.edu/departments/health-services/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lindenwood University,Private,MO,<a href="https://www.lindenwood.edu/student-life/health-wellness/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Linfield College,Private,OR,<a href="https://www.linfield.edu/linfield-news/linfield-president-announces-fall-reopening/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lipscomb,Private,TN,<a href="https://www.lipscomb.edu/news/lipscomb-university-announces-intentions-return-campus-classes-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lone Star College,Public,TX,<a href="https://www.lonestar.edu/student-resources" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Longwood University,Public,VA,<a href="http://www.longwood.edu/news/2020/longwood-announces-leadership-team/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Loras College,Private,IA,<a href="https://myweb.loras.edu/Loras/PDF/CoronavirusEmail5-13-2020.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Los Angeles Community College District — all campuses,Public,CA,<a href="http://www.laccd.edu/About/News/Pages/FAQs.aspx" target="_blank" rel="nofollow noopener noreferrer">Link</a>
​Los Angeles Community College District — East Los Angeles College,Public,CA,Planning for online
Los Angeles Community College District — Los Angeles City College,Public,CA,Planning for online
Los Angeles Community College District — ​Los Angeles Harbor College,Public,CA,Planning for online
​Los Angeles Community College District — Los Angeles Mission College,Public,CA,Planning for online
Los Angeles Community College District — Los Angeles Pierce College,Public,CA,Planning for online
Los Angeles Community College District — Los Angeles ​Southwest College,Public,CA,Planning for online
Los Angeles Community College District — ​Los Angeles Trade-Tech College,Public,CA,Planning for online
Los Angeles Community College District — ​Los Angeles Valley College,Public,CA,Planning for online
Los Angeles Community College District — West Los Angeles College,Public,CA,Planning for online
Louisana State University,Public,LA,<a href="https://lsu.edu/coronavirus/messages/email/2020-06-01-phase2.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Louisiana College,Private,LA,<a href="https://www.lacollege.edu/news/lc-campus-opens-for-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Loyola Marymount University,Private,CA,<a href="https://www.lmu.edu/coronavirus/communitymessages/messagefromtheprovosttostudentsinformationaboutfallsemester2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Loyola University Chicago,Private,IL,<a href="https://www.uwrf.edu/COVID-19/upload/ChancellorsReturntoCampusUpdateJune4.pdf" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Loyola University Maryland,Private,MD,<a href="https://thegreyhound.org/site/2020/04/29/planning-for-reopening-begins-at-loyola/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Loyola University New Orleans,Private,LA,<a href="https://www.loyno.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Lubbock Christian University,Private,TX,<a href="https://lcu.edu/resources/health-and-safety/medical-clinic/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Luther College,Private,IA,<a href="https://www.luther.edu/headlines/?story_id=910677" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lycoming College,Private,PA,<a href="https://www.lycoming.edu/health-services/coronavirus-covid-19.aspx#resumptionOfResidentialEducation" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lynn University,Private,FL,<a href="https://www.lynn.edu/roadmap" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Lyon College,Private,AR,<a href="https://www.lyon.edu/coronavirus" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Macalester College,Private,MN,<a href="https://www.macalester.edu/news/2020/04/planning-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Manhattan College,Private,NY,<a href="https://manhattan.edu/coronavirus-updates/coronavirus-faq.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Manhattanville College,Private,NY,<a href="https://www.mville.edu/content/covid-19-information-manhattanville-community" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
