Institution,Control,State,Category
Bakersfield College,Public,CA,<a href="https://www.bakersfieldcollege.edu/covid19" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Ball State University,Public,IN,<a href="https://www.youtube.com/watch?v=ieuOdm6M5t4" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bard College,Private,NY,<a href="https://www.bard.edu/covid19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bard College at Simon's Rock,Private,MA,<a href="https://simons-rock.edu/early-college/contact-us/offices-and-departments/wellness-center/wellness-center-update-covid19.phpp" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Barnard College,Private,NY,<a href="https://alert.barnard.edu/news/financial-decision-making-and-summer" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Barry University,Private,FL,<a href="http://www.barry.edu/prepare/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Bates College,Private,ME,<a href="https://www.bates.edu/covid-19/2020/05/08/planning-for-next-academic-year/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Bay Atlantic University,Private,DC,<a href="https://bau.edu/News/coronavirus-updates/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Bay Path University,Private,MA,<a href="https://www.baypath.edu/student-life/health-wellness/frequently-asked-questions/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Baylor University,Private,TX,<a href="https://www.baylor.edu/president/news.php?action=story&amp;story=218786" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Beacon College,Private,FL,<a href="https://www.beaconcollege.edu/beacon-news/2020/04/coronavirus-update-april-17-2020/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Belhaven University,Private,MS,<a href="https://www.belhaven.edu/coronavirus/Letter-to-students-May.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Bellevue College,Public,WA,<a href="https://www.bellevuecollege.edu/publicsafety/flu/" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Belmont University,Private,TN,<a href="http://www.belmont.edu/health-services/coronavirus/return-to-learning/index.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
